Object Number;Is Highlight;Is Timeline Work;Is Public Domain;Object ID;Gallery Number;Department;AccessionYear;Object Name;Title;Culture;Period;Dynasty;Reign;Portfolio;Constituent ID;Artist Role;Artist Prefix;Artist Display Name;Artist Display Bio;Artist Suffix;Artist Alpha Sort;Artist Nationality;Artist Begin Date;Artist End Date;Artist Gender;Artist ULAN URL;Artist Wikidata URL;Object Date;Object Begin Date;Object End Date;Medium;Dimensions;Credit Line;Geography Type;City;State;County;Country;Region;Subregion;Locale;Locus;Excavation;River;Classification;Rights and Reproduction;Link Resource;Object Wikidata URL;Metadata Date;Repository;Tags;Tags AAT URL;Tags Wikidata URL
11.161.4;FALSE;FALSE;TRUE;4558;774;The American Wing;1911;Jug;Jug;British;;;;;;;;;;;;;;;;;;1770–1800;1770;1800;Earthenware, transfer-printed;H. 7 in. (17.8 cm);Gift of William F. Havemeyer, 1911;Made in;Liverpool;Merseyside;Merseyside;England;;;;;;;;;http://www.metmuseum.org/art/collection/search/4558;https://www.wikidata.org/wiki/Q116366677;;Metropolitan Museum of Art, New York, NY;Men|George Washington;http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/ulan/500126198;https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q23
11.60.329;FALSE;FALSE;TRUE;13617;;The American Wing;1911;Quilt;Quilt, Marseilles type;British;;;;;;;;;;;;;;;;;;ca. 1800–1820;1797;1820;Cotton, woven;120 x 132 in. (304.8 x 335.3 cm);Bequest of Maria P. James, 1911;Possibly made in;Manchester;Greater Manchester;Greater Manchester;England;;;;;;;;;http://www.metmuseum.org/art/collection/search/13617;;;Metropolitan Museum of Art, New York, NY;;;
17.113;FALSE;FALSE;TRUE;22632;372;Arms and Armor;1917;Gorget;Officer's Gorget;British;;;;;;;;;;;;;;;;;;late 18th century;1750;1800;Copper, gold, buckskin;H. 4 1/8 in. (10.46 cm);;;;;;;;;;;;;;;;;;;;;
11.188;FALSE;FALSE;FALSE;25645;;Arms and Armor;1911;Copy of a chessman;Copy of a Chessman;British;;;;;;;;;;;;;;;;;;late 19th–early 20th century;1851;1911;Plaster;H. 2 1/4 in. (5.7 cm);Gift of Sir Thomas Brock, 1911;;;;;;;;;;;;Chess Sets-Reproductions;;http://www.metmuseum.org/art/collection/search/25645;;;Metropolitan Museum of Art, New York, NY;Horses;http://vocab.getty.edu/page/aat/300250148;https://www.wikidata.org/wiki/Q726
11.60.281;FALSE;FALSE;TRUE;98048;;Costume Institute;1911;Collar;Collar;British;;;;;;;;;;;;;;;;;;1825–30;1825;1830;[no medium available];;Bequest of Maria P. James, 1910;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98048;;;Metropolitan Museum of Art, New York, NY;;;
09.68.604;FALSE;FALSE;TRUE;98180;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98180;;;Metropolitan Museum of Art, New York, NY;;;
09.68.605;FALSE;FALSE;TRUE;98181;;Costume Institute;1909;Bib;Bib;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98181;;;Metropolitan Museum of Art, New York, NY;;;
09.68.607;FALSE;FALSE;TRUE;98183;;Costume Institute;1909;Biggin;Biggin;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98183;;;Metropolitan Museum of Art, New York, NY;;;
09.68.609;FALSE;FALSE;TRUE;98185;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;18th century;1700;1799;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98185;;;Metropolitan Museum of Art, New York, NY;;;
09.68.610;FALSE;FALSE;TRUE;98186;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98186;;;Metropolitan Museum of Art, New York, NY;;;
09.68.611;FALSE;FALSE;TRUE;98187;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98187;;;Metropolitan Museum of Art, New York, NY;;;
09.68.612;FALSE;FALSE;TRUE;98188;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;[no medium available];;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98188;;;Metropolitan Museum of Art, New York, NY;;;
09.68.617;FALSE;FALSE;TRUE;98193;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;cotton;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98193;;;Metropolitan Museum of Art, New York, NY;;;
09.68.626;FALSE;FALSE;TRUE;98202;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98202;;;Metropolitan Museum of Art, New York, NY;;;
09.68.628;FALSE;FALSE;TRUE;98204;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98204;;;Metropolitan Museum of Art, New York, NY;;;
09.68.629;FALSE;FALSE;TRUE;98205;;Costume Institute;1909;Cap;Cap;British;;;;;;;;;;;;;;;;;;19th century;1800;1899;linen;;Purchase by subscription, 1909;;;;;;;;;;;;;;http://www.metmuseum.org/art/collection/search/98205;;;Metropolitan Museum of Art, New York, NY;;;
